2023-07-31 11:51:34,780 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:51:34,781 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:51:34,782 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:51:34,782 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:51:37,733 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-07-31 11:51:37,978 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: devicethread-apis:devicethread-apis:0.0.1-SNAPSHOT @ D:\devicethread-automation\devicethread-apis\pom.xml.
2023-07-31 11:51:38,154 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /devicethread-apis/src/main/java
2023-07-31 11:51:38,154 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /devicethread-apis/src/main/resources
2023-07-31 11:51:38,155 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /devicethread-apis/src/test/java
2023-07-31 11:51:38,155 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /devicethread-apis/src/test/resources
2023-07-31 11:51:38,228 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2023-07-31 11:51:38,510 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:51:38,511 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:51:38,512 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:51:38,513 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:51:56,889 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:51:56,890 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:51:56,891 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:51:56,891 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:03,685 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:03,685 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:03,686 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:03,699 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:09,417 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:09,418 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:09,419 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:09,420 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:42,119 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:42,120 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:42,120 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:42,121 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:45,440 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:45,441 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:45,441 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:45,442 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:53,485 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-07-31 11:54:53,757 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: devicethread-apis:devicethread-apis:0.0.1-SNAPSHOT @ D:\devicethread-automation\devicethread-apis\pom.xml.
2023-07-31 11:54:53,978 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /devicethread-apis/src/main/java
2023-07-31 11:54:53,979 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /devicethread-apis/src/main/resources
2023-07-31 11:54:53,979 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /devicethread-apis/src/test/java
2023-07-31 11:54:53,979 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /devicethread-apis/src/test/resources
2023-07-31 11:54:54,072 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2023-07-31 11:54:54,326 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:54,326 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:54:54,327 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-31 11:54:54,327 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2023-07-31 11:55:16,659 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
